"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Barnet 023A",17,0,0,32,300
"Barnet 023B",20,1,0,3,344
"Barnet 023C",57,1,1,14,149
"Barnet 023D",39,1,0,18,336
"Barnet 024A",102,5,0,28,27
"Barnet 024B",35,1,0,8,310
"Barnet 024C",85,0,1,28,88
"Barnet 024D",250,1,3,29,33
"Barnet 024E",45,3,1,16,168
"Barnet 024F",27,1,2,13,222
"Barnet 025A",28,1,0,24,339
"Barnet 025B",16,0,0,13,372
"Barnet 025C",22,0,1,22,146
"Barnet 025D",37,1,0,14,293
"Barnet 025E",55,2,0,23,298
"Barnet 026A",48,2,0,18,276
"Barnet 026B",60,1,1,17,128
"Barnet 026C",73,0,2,4,181
"Barnet 026D",125,2,2,15,50
"Barnet 026E",39,0,0,10,291
"Barnet 027A",50,1,0,10,271
"Barnet 027B",28,1,2,27,105
"Barnet 027C",16,1,0,22,379
"Barnet 027D",19,1,1,7,285
"Barnet 027E",87,8,0,68,99
"Barnet 027F",6,0,0,14,393
"Barnet 028A",53,5,1,22,167
"Barnet 028B",24,0,0,15,355
"Barnet 028C",21,0,0,39,200
"Barnet 028D",25,0,0,39,200
"Barnet 028E",24,0,1,34,85
"Barnet 029A",24,0,0,21,338
"Barnet 029B",19,1,0,10,331
"Barnet 029C",21,2,0,5,324
"Barnet 029D",20,1,0,12,353
"Barnet 029E",22,0,0,7,328
"Barnet 029F",28,0,0,3,307
"Barnet 030A",34,1,0,16,335
"Barnet 030B",83,2,1,23,88
"Barnet 030D",96,8,2,19,92
"Barnet 030E",76,0,2,21,69
"Barnet 030F",75,1,2,7,181
"Barnet 031A",66,1,3,10,141
"Barnet 031B",22,0,0,14,354
"Barnet 031C",34,0,0,26,319
"Barnet 031D",16,0,0,11,352
"Barnet 032A",84,3,1,25,68
"Barnet 032B",17,1,1,17,185
"Barnet 032C",63,1,1,13,150
"Barnet 032D",37,4,1,14,188
"Barnet 032E",83,1,1,12,129
"Barnet 032F",95,1,1,16,89
"Barnet 033A",8,0,0,11,391
"Barnet 033B",17,0,0,36,200
"Barnet 033C",10,1,0,39,200
"Barnet 033D",14,3,0,36,199
"Barnet 033E",16,0,0,25,380
"Barnet 033F",14,1,0,22,379
"Barnet 034A",23,0,0,30,300
"Barnet 034B",36,3,1,24,107
"Barnet 034C",8,3,0,21,215
"Barnet 034D",46,1,1,34,85
"Barnet 035A",23,2,0,24,360
"Barnet 035B",22,2,0,23,359
"Barnet 035C",36,0,2,30,105
"Barnet 035D",50,1,0,17,316
"Barnet 035E",20,2,0,11,233
"Barnet 035F",32,0,0,17,335
"Barnet 036A",34,2,2,25,124
"Barnet 036B",41,2,2,16,202
"Barnet 036C",40,0,0,15,315
"Barnet 036D",45,1,1,13,169
"Barnet 036E",12,0,0,26,340
"Barnet 036F",48,3,1,26,107
"Barnet 037A",18,1,0,19,377
"Barnet 037B",13,0,0,12,372
"Barnet 037C",42,1,0,11,272
"Barnet 037D",60,3,0,26,258
"Barnet 037E",11,1,0,13,373
"Barnet 037F",43,0,0,22,318
"Barnet 038A",30,0,0,17,356
"Barnet 038B",37,0,1,9,267
"Barnet 038C",204,3,0,11,11
"Barnet 038D",155,3,0,18,10
"Barnet 038E",46,3,0,25,237
"Barnet 039A",123,9,0,49,5
"Barnet 039B",89,3,2,53,25
"Barnet 039C",38,3,1,23,107
"Barnet 039D",133,1,3,55,4
"Barnet 040A",117,1,1,36,26
"Barnet 040B",41,2,0,30,280
"Barnet 040C",25,0,0,8,330
"Barnet 040D",30,0,0,12,312
"Barnet 041A",35,1,0,13,293
"Barnet 041B",25,3,1,15,187
"Barnet 041C",22,1,0,23,339
"Barnet 041D",45,4,0,18,255
"Bexley 001A",71,3,6,25,42
"Bexley 001B",23,1,0,6,326
"Bexley 001C",35,1,0,15,334
"Bexley 001D",28,1,0,5,308
"Bexley 002A",21,3,1,7,282
"Bexley 002B",32,1,1,10,266
"Bexley 002C",78,2,3,35,44
"Bexley 002D",22,1,2,15,203
"Bexley 002E",22,0,0,13,332
"Bexley 002F",23,2,0,10,232
"Bexley 003A",47,3,0,8,210
"Bexley 003B",86,2,3,51,25
"Bexley 003C",57,1,4,14,102
"Bexley 003D",18,0,0,18,376
"Bexley 003E",31,1,2,16,202
"Bexley 004A",114,6,6,31,23
"Bexley 004B",66,3,0,39,240
"Bexley 004C",25,1,1,21,165
"Bexley 004D",36,0,1,26,125
"Bexley 005A",28,0,0,16,355
"Bexley 005B",59,2,0,15,295
"Bexley 005C",43,1,3,13,121
"Bexley 005D",11,1,0,8,389
"Bexley 006A",22,0,0,8,349
"Bexley 006B",41,1,1,17,148
"Bexley 006C",15,0,0,6,347
"Bexley 006D",8,0,0,7,367
"Bexley 006E",29,0,0,13,313
"Bexley 007A",25,1,0,9,331
"Bexley 007B",40,2,0,4,288
"Bexley 007C",101,7,0,16,112
"Bexley 007D",7,0,0,6,387
"Bexley 007E",26,0,0,9,330
"Bexley 008A",18,0,0,13,372
"Bexley 008B",34,0,1,16,226
"Bexley 008C",40,2,0,14,294
"Bexley 008D",46,3,1,18,167
"Bexley 008E",23,0,0,10,351
"Bexley 008F",48,1,0,12,271
"Bexley 008G",20,1,3,12,223
"Bexley 009A",10,1,0,5,346
"Bexley 009B",7,1,0,9,389
"Bexley 009C",17,1,0,10,371
"Bexley 009D",2,0,0,3,384
"Bexley 009E",36,0,0,13,313
"Bexley 009F",17,0,0,10,370
"Bexley 009G",3,0,0,14,393
"Bexley 010A",28,3,0,15,254
"Bexley 010B",27,0,0,3,307
"Bexley 010C",20,0,0,7,349
"Bexley 010D",19,1,0,9,350
"Bexley 010E",8,0,0,16,395
"Bexley 011A",19,2,1,9,283
"Bexley 011B",28,1,0,10,331
"Bexley 011C",11,0,0,5,365
"Bexley 011D",10,1,0,8,389
"Bexley 011E",19,0,0,7,348
"Bexley 013A",30,0,0,6,309
"Bexley 013B",18,1,2,5,281
"Bexley 013C",25,1,0,8,329
"Bexley 013D",14,2,0,14,234
"Bexley 013E",10,0,0,6,366
"Bexley 014A",10,2,0,5,325
"Bexley 014B",14,0,0,3,364
"Bexley 014C",13,0,0,10,370
"Bexley 014D",23,0,0,8,349
"Bexley 014E",12,0,0,9,369
"Bexley 015A",115,6,6,12,62
"Bexley 015B",158,2,1,12,31
"Bexley 015C",23,1,0,6,326
"Bexley 015D",16,0,0,10,370
"Bexley 015E",24,3,0,5,324
"Bexley 016A",35,1,0,6,309
"Bexley 016B",61,4,0,15,151
"Bexley 016C",15,0,0,4,365
"Bexley 016E",78,3,1,13,129
"Bexley 016F",2,0,0,5,386
"Bexley 017A",11,2,0,11,390
"Bexley 017B",2,1,1,17,204
"Bexley 017C",58,2,1,19,108
"Bexley 017D",63,1,1,4,248
"Bexley 017E",39,1,0,6,289
"Bexley 018A",20,0,0,8,349
"Bexley 018B",20,0,0,9,350
"Bexley 018C",21,0,0,6,328
