"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Enfield 007E",37,2,0,19,337
"Enfield 008A",12,0,0,6,366
"Enfield 008B",137,9,3,6,73
"Enfield 008C",73,4,1,11,229
"Enfield 008D",18,0,0,19,376
"Enfield 008E",24,1,2,8,241
"Enfield 009A",9,0,0,14,393
"Enfield 009B",21,2,1,22,166
"Enfield 009C",53,1,0,16,295
"Enfield 009D",17,3,1,11,283
"Enfield 010A",35,1,0,14,293
"Enfield 010B",33,0,0,22,338
"Enfield 010C",22,2,0,13,233
"Enfield 010D",14,0,0,16,395
"Enfield 010E",5,0,0,14,393
"Enfield 011A",53,1,0,39,240
"Enfield 011B",31,0,5,16,102
"Enfield 011C",40,1,0,12,272
"Enfield 011D",8,0,0,7,367
"Enfield 012A",48,0,1,15,149
"Enfield 012B",21,0,1,24,146
"Enfield 012C",91,2,0,8,230
"Enfield 012D",93,4,3,22,49
"Enfield 012E",92,0,1,15,89
"Enfield 012F",59,7,3,47,138
"Enfield 013A",5,0,0,12,392
"Enfield 013B",16,0,1,14,225
"Enfield 013C",15,1,0,16,374
"Enfield 013D",15,0,0,7,348
"Enfield 014A",118,0,0,40,6
"Enfield 014B",58,2,3,27,64
"Enfield 014C",37,2,0,22,337
"Enfield 014D",51,0,0,7,270
"Enfield 015A",12,0,0,14,394
"Enfield 015B",17,4,0,14,213
"Enfield 015C",117,3,4,21,52
"Enfield 015D",36,5,1,20,167
"Enfield 015E",83,4,1,22,68
"Enfield 016A",43,0,0,19,317
"Enfield 016B",17,0,0,16,375
"Enfield 016C",14,1,0,16,374
"Enfield 016D",34,6,0,28,217
"Enfield 016E",8,2,0,19,398
"Enfield 016F",94,4,0,26,257
"Enfield 017A",27,1,1,18,185
"Enfield 017B",5,1,0,11,390
"Enfield 017C",7,0,0,9,388
"Enfield 017D",10,0,0,9,369
"Enfield 018A",21,0,0,13,372
"Enfield 018B",53,0,1,13,149
"Enfield 018C",24,0,1,18,205
"Enfield 018D",45,0,4,16,102
"Enfield 018E",31,0,0,19,357
"Enfield 019A",32,1,0,12,292
"Enfield 019B",51,0,0,12,271
"Enfield 019C",26,0,1,9,266
"Enfield 019D",25,1,0,6,326
"Enfield 019E",6,0,0,3,384
"Enfield 020A",24,0,0,15,355
"Enfield 020B",13,0,1,14,225
"Enfield 020C",36,1,1,10,246
"Enfield 020D",133,4,3,28,53
"Enfield 020E",22,0,0,10,351
"Enfield 021A",22,0,0,17,375
"Enfield 021B",7,2,1,10,264
"Enfield 021C",6,0,2,18,203
"Enfield 021D",12,0,0,21,400
"Enfield 021E",25,1,0,10,331
"Enfield 021F",22,0,0,12,332
"Enfield 022A",12,1,0,4,345
"Enfield 022B",11,1,1,15,204
"Enfield 022C",1,0,0,8,388
"Enfield 022D",3,0,0,14,393
"Enfield 022E",55,1,0,20,297
"Enfield 023A",108,4,5,25,42
"Enfield 023B",98,0,2,19,69
"Enfield 023C",48,1,2,14,201
"Enfield 023D",19,0,0,21,400
"Enfield 023E",25,1,1,15,206
"Enfield 024A",25,0,1,11,245
"Enfield 024B",49,0,4,20,82
"Enfield 024C",34,0,0,17,335
"Enfield 024D",26,2,0,23,359
"Enfield 024E",16,1,1,19,185
"Enfield 025A",26,2,0,17,235
"Enfield 025B",53,4,2,25,144
"Enfield 025C",64,0,0,35,260
"Enfield 025E",50,3,1,34,66
"Enfield 025F",37,1,0,15,334
"Enfield 025G",53,2,4,15,102
"Enfield 026A",31,0,0,11,312
"Enfield 026B",42,0,1,9,247
"Enfield 026C",15,1,0,17,396
"Enfield 026D",32,0,0,21,338
"Enfield 026E",15,4,3,17,122
"Enfield 027A",28,0,1,16,205
"Enfield 027B",124,6,2,24,29
"Enfield 027C",27,1,0,12,353
"Enfield 027D",32,0,1,9,266
"Enfield 027E",14,0,0,13,372
"Enfield 028A",19,1,0,11,371
"Enfield 028B",16,0,0,15,394
"Enfield 028C",17,0,0,19,376
"Enfield 028D",12,0,0,20,400
"Enfield 028E",38,1,0,18,336
"Enfield 029A",14,0,0,11,370
"Enfield 029B",53,3,5,26,63
"Enfield 029C",17,0,1,16,205
"Enfield 029D",52,0,0,18,316
"Enfield 029E",13,1,0,10,371
"Enfield 030A",56,2,2,4,261
"Enfield 030B",53,1,0,13,271
"Enfield 030C",133,2,4,52,4
"Enfield 030D",318,18,6,31,14
"Enfield 030E",79,3,2,20,69
"Enfield 031A",22,1,0,15,374
"Enfield 031B",34,1,0,5,308
"Enfield 031C",18,0,0,12,372
"Enfield 031D",29,1,0,9,310
"Enfield 031E",30,0,0,11,312
"Enfield 031F",18,2,1,31,106
"Enfield 032A",3,0,0,12,392
"Enfield 032B",38,3,1,12,207
"Enfield 032C",60,2,0,31,259
"Enfield 032D",39,0,1,14,226
"Enfield 032E",57,1,3,25,123
"Enfield 033A",56,2,3,15,142
"Enfield 033B",216,2,3,15,33
"Enfield 033C",217,3,7,31,2
"Enfield 033D",20,1,0,18,377
"Enfield 033E",62,3,4,12,102
"Enfield 033F",176,5,0,134,60
"Enfield 035A",29,2,2,26,124
"Enfield 035B",40,1,0,21,318
"Enfield 035C",25,0,0,16,355
"Enfield 035D",10,0,0,29,300
"Enfield 035E",30,1,0,18,357
"Enfield 035F",18,0,0,19,376
"Enfield 036A",32,0,0,16,335
"Enfield 036B",35,1,1,28,125
"Enfield 036C",23,0,0,18,376
"Enfield 036D",31,0,1,17,205
"Enfield 036E",142,4,1,20,10
"Enfield 036F",71,1,0,23,278
"Enfield 037A",126,0,0,14,91
"Enfield 037B",23,0,1,16,205
"Enfield 037C",93,0,1,18,89
"Enfield 037D",31,0,0,23,338
"Enfield 037E",40,6,0,29,217
"Epping Forest 008C",0,0,0,0,381
"Epping Forest 013C",0,0,0,1,362
"Epping Forest 016A",0,0,0,0,381
"Epping Forest 017A",3,0,0,1,362
"Epping Forest 017C",3,0,0,2,383
"Epsom and Ewell 001E",0,1,0,2,343
"Epsom and Ewell 005C",0,0,0,0,381
"Epsom and Ewell 010E",0,0,0,2,383
"Greenwich 001A",21,0,0,5,327
"Greenwich 001B",12,0,0,3,364
"Greenwich 001C",15,0,0,10,370
"Greenwich 001D",49,0,3,0,261
"Greenwich 002A",30,1,0,11,292
"Greenwich 002B",119,4,1,14,71
"Greenwich 002E",33,1,0,5,308
"Greenwich 002F",54,0,0,16,316
"Greenwich 002G",44,1,1,23,107
"Greenwich 002H",19,1,0,6,326
"Greenwich 002I",18,0,0,10,351
"Greenwich 003A",52,1,1,29,86
"Greenwich 003B",84,2,0,30,259
"Greenwich 003C",35,2,0,28,299
"Greenwich 003D",47,1,1,20,127
"Greenwich 003E",32,0,0,13,313
"Greenwich 004B",18,0,2,30,105
"Greenwich 004C",27,0,0,12,332
"Greenwich 004D",53,3,2,12,201
"Greenwich 004E",142,26,0,15,76
"Greenwich 004F",24,3,0,8,211
"Greenwich 004G",123,10,4,10,73
"Greenwich 004H",11,5,0,2,323
"Greenwich 004I",110,20,1,16,76
"Greenwich 005A",113,1,2,20,50
"Greenwich 005B",16,1,1,8,284
"Greenwich 005C",31,1,0,10,311
"Greenwich 005D",61,1,0,6,249
"Greenwich 005E",37,1,1,14,226
"Greenwich 006A",63,2,1,29,66
"Greenwich 006B",94,3,0,13,111
"Greenwich 006C",23,1,1,16,205
"Greenwich 006D",149,1,0,14,91
"Greenwich 006E",22,1,6,2,101
"Greenwich 007B",38,2,0,11,273
"Greenwich 007C",19,1,0,5,326
"Greenwich 007D",34,1,0,12,292
"Greenwich 007E",33,2,2,12,202
"Greenwich 007F",8,0,0,3,384
"Greenwich 007G",47,1,3,10,121
"Greenwich 008A",13,0,1,40,200
"Greenwich 008B",20,3,1,15,187
"Greenwich 008C",18,0,0,16,375
"Greenwich 008D",66,2,1,25,87
"Greenwich 009A",42,2,0,13,294
"Greenwich 009B",24,0,1,21,165
"Greenwich 009C",24,0,0,9,330
"Greenwich 009D",26,1,0,10,331
"Greenwich 011A",29,1,1,8,266
"Greenwich 011B",138,4,5,18,52
"Greenwich 011C",40,2,0,16,275
"Greenwich 011D",57,1,4,25,83
"Greenwich 011E",24,0,4,12,101
"Greenwich 011F",27,2,0,15,253
"Greenwich 012A",22,2,1,20,166
"Greenwich 012B",31,3,0,16,254
"Greenwich 012C",74,5,0,28,258
"Greenwich 012D",61,1,0,19,296
"Greenwich 014A",30,3,1,13,207
"Greenwich 014B",18,1,0,18,377
"Greenwich 014C",18,1,0,26,320
"Greenwich 014D",31,0,1,12,245
"Greenwich 015A",18,1,0,2,344
"Greenwich 015B",18,0,1,3,321
"Greenwich 015C",67,9,1,40,138
"Greenwich 015D",37,2,1,7,267
"Greenwich 016A",33,3,0,18,255
"Greenwich 016B",33,0,0,32,280
"Greenwich 016C",12,1,0,23,380
"Greenwich 016D",23,2,1,19,186
"Greenwich 017A",16,0,0,13,372
"Greenwich 017B",61,3,0,13,170
"Greenwich 017C",19,0,0,4,327
"Greenwich 017D",21,0,0,6,328
"Greenwich 019A",52,1,0,52,160
"Greenwich 019B",26,5,0,20,236
"Greenwich 019C",35,0,0,36,220
"Greenwich 019D",50,2,1,43,180
"Greenwich 020A",26,0,0,14,333
"Greenwich 020B",29,1,2,10,222
"Greenwich 020C",9,0,0,19,397
"Greenwich 020D",47,0,1,20,127
"Greenwich 020E",44,1,0,22,318
"Greenwich 021A",14,1,0,35,300
"Greenwich 021B",50,0,0,33,260
"Greenwich 021C",6,1,0,23,380
"Greenwich 021D",8,3,1,11,264
"Greenwich 022A",30,1,1,20,147
"Greenwich 022B",17,0,0,27,320
"Greenwich 022C",36,0,1,27,125
"Greenwich 022D",45,1,1,15,149
"Greenwich 023A",39,0,0,16,335
"Greenwich 023B",10,0,0,14,393
"Greenwich 023C",15,0,0,15,394
"Greenwich 023D",38,1,0,18,336
"Greenwich 025A",32,2,0,11,252
"Greenwich 025B",15,3,2,16,184
"Greenwich 025C",39,0,0,27,299
"Greenwich 025D",20,0,0,11,352
"Greenwich 025E",18,1,1,14,225
"Greenwich 027A",12,4,2,12,263
"Greenwich 027B",13,2,0,21,399
"Greenwich 027C",23,2,0,16,235
"Greenwich 027D",26,7,0,20,195
"Greenwich 028A",38,0,0,12,313
"Greenwich 028B",41,2,1,19,147
"Greenwich 028C",145,4,0,39,6
"Greenwich 028D",48,0,1,14,149
"Greenwich 029A",47,0,0,10,291
"Greenwich 029B",26,1,0,15,334
"Greenwich 029C",59,1,0,12,250
"Greenwich 029D",35,0,1,14,226
"Greenwich 029E",34,1,0,15,334
"Greenwich 030C",52,0,0,20,317
"Greenwich 030D",37,3,0,17,255
"Greenwich 030E",8,0,0,8,388
"Greenwich 031A",14,0,0,15,394
"Greenwich 031B",17,1,0,15,374
"Greenwich 031C",36,3,1,17,168
"Greenwich 031D",98,0,1,16,89
"Greenwich 032A",24,0,0,12,332
"Greenwich 032B",71,1,0,28,279
"Greenwich 032C",13,3,0,14,213
"Greenwich 032D",11,0,0,7,367
"Greenwich 033A",50,0,0,9,270
"Greenwich 033B",70,0,1,15,129
"Greenwich 033C",55,1,0,11,271
"Greenwich 033D",40,0,0,13,314
"Greenwich 034A",13,0,0,4,365
"Greenwich 034B",27,1,0,5,308
"Greenwich 034C",25,4,0,18,235
"Greenwich 034D",9,2,0,15,234
"Greenwich 034E",96,6,4,41,24
"Greenwich 035A",150,12,0,30,8
"Greenwich 035B",49,8,1,29,136
"Greenwich 035C",16,1,0,3,344
"Greenwich 035D",48,9,0,20,155
"Greenwich 036A",85,7,1,34,46
"Greenwich 036B",136,34,1,112,59
"Greenwich 036C",31,11,1,35,158
"Greenwich 036D",50,0,1,8,247
"Greenwich 036E",49,6,0,17,152
"Greenwich 037A",80,8,0,32,238
"Greenwich 037B",42,6,0,24,217
"Greenwich 037C",37,4,1,21,167
"Greenwich 037D",75,6,1,46,138
"Greenwich 038A",31,5,2,25,163
"Greenwich 038B",103,31,0,38,78
"Greenwich 038C",40,1,0,24,319
"Greenwich 038D",117,8,3,29,53
"Greenwich 038E",43,3,0,6,210
"Hackney 001A",78,15,2,17,94
"Hackney 001B",25,3,2,8,263
"Hackney 001C",63,4,1,13,189
"Hackney 001D",26,4,1,7,303
"Hackney 001E",41,0,1,15,226
"Hackney 002A",28,1,0,2,307
"Hackney 002D",60,3,0,13,170
"Hackney 002E",118,8,3,17,73
"Hackney 002F",73,9,1,15,113
"Hackney 003A",19,4,1,15,187
"Hackney 003B",1,8,1,5,303
"Hackney 003C",28,3,0,8,211
"Hackney 003D",43,2,1,19,147
"Hackney 003E",15,0,0,2,364
"Hackney 004A",54,0,0,2,269
"Hackney 004C",44,10,0,15,155
"Hackney 004D",48,7,1,16,188
"Hackney 004E",33,2,0,1,288
"Hackney 006A",36,3,0,6,211
"Hackney 006B",41,13,0,12,134
"Hackney 006C",8,2,0,4,345
"Hackney 006D",38,8,0,19,155
"Hackney 006E",55,6,0,15,152
"Hackney 007A",55,3,0,13,170
"Hackney 007B",226,6,6,26,2
"Hackney 007C",28,38,0,6,57
"Hackney 007D",39,5,3,21,103
"Hackney 007E",5,1,0,6,387
"Hackney 007F",26,2,0,8,211
"Hackney 008A",63,15,3,19,74
"Hackney 008B",48,4,0,7,210
"Hackney 008C",71,3,0,10,230
"Hackney 008D",90,18,1,26,96
"Hackney 009A",14,8,0,14,174
"Hackney 009B",31,8,0,10,173
"Hackney 009C",51,7,0,17,152
"Hackney 009D",141,26,2,32,78
"Hackney 009E",46,6,1,12,208
"Hackney 010A",71,5,3,20,143
"Hackney 010B",17,4,3,24,104
"Hackney 010D",28,6,0,26,197
"Hackney 010E",41,9,6,28,61
"Hackney 010F",110,6,2,13,72
"Hackney 010G",67,10,3,20,74
"Hackney 011A",107,8,2,30,29
"Hackney 011B",21,5,0,18,195
"Hackney 011C",106,18,1,38,97
"Hackney 011D",46,4,0,10,171
"Hackney 011E",30,6,0,20,195
"Hackney 012A",40,14,1,18,134
"Hackney 012B",26,34,0,16,77
"Hackney 012C",15,6,0,12,194
"Hackney 012D",108,6,2,25,29
"Hackney 013A",94,4,2,27,48
"Hackney 013B",27,1,0,4,308
"Hackney 013C",48,1,0,6,269
"Hackney 013D",54,2,1,8,228
"Hackney 014A",50,5,0,6,210
"Hackney 014B",146,13,4,23,54
"Hackney 014C",38,5,3,13,122
"Hackney 014D",77,6,1,18,92
"Hackney 014E",57,5,2,16,162
"Hackney 014F",21,2,0,8,232
"Hackney 015A",79,2,1,25,88
"Hackney 015B",24,2,0,7,211
"Hackney 015C",64,6,1,11,209
"Hackney 015D",20,3,1,26,106
"Hackney 016A",55,4,0,20,256
"Hackney 016B",74,2,1,1,248
"Hackney 016C",7,0,0,0,363
"Hackney 016D",76,11,2,8,93
"Hackney 016E",50,2,1,12,169
"Hackney 016F",39,11,5,15,61
"Hackney 017A",138,20,2,29,55
"Hackney 017B",109,19,5,28,54
"Hackney 017C",118,44,9,33,16
"Hackney 017D",171,40,3,24,37
"Hackney 018A",49,1,5,33,63
"Hackney 018B",22,9,2,10,208
"Hackney 018C",36,7,2,26,157
"Hackney 018D",112,11,2,32,137
"Hackney 019A",54,12,6,27,41
"Hackney 019B",66,6,2,13,162
"Hackney 019C",68,6,3,12,142
"Hackney 019D",43,4,0,23,256
"Hackney 019E",20,3,0,17,235
"Hackney 019F",118,9,2,21,29
"Hackney 020A",170,28,3,34,36
"Hackney 020B",40,6,2,21,163
"Hackney 020C",88,30,2,18,56
"Hackney 020D",13,16,0,16,134
"Hackney 020E",15,6,0,27,197
"Hackney 021B",22,3,0,13,233
"Hackney 021C",59,16,1,22,116
"Hackney 021D",55,22,0,37,97
"Hackney 021E",49,9,0,52,119
"Hackney 021F",28,0,1,7,285
"Hackney 021G",65,40,7,42,16
"Hackney 021H",202,27,1,39,58
"Hackney 021I",106,28,3,21,56
"Hackney 022A",40,15,1,40,118
"Hackney 022B",32,3,0,15,254
"Hackney 022C",36,8,1,20,156
"Hackney 022D",50,7,5,21,61
"Hackney 022E",32,1,0,13,313
"Hackney 023B",45,3,2,17,183
"Hackney 023C",88,27,2,28,56
"Hackney 023D",44,3,1,9,228
"Hackney 023E",18,3,0,19,215
"Hackney 023F",64,30,1,22,77
"Hackney 023G",171,68,0,30,38
"Hackney 024A",54,3,1,6,248
"Hackney 024B",89,10,0,9,132
"Hackney 024C",43,9,0,9,153
"Hackney 024D",20,5,1,5,303
"Hackney 024E",64,5,1,7,209
"Hackney 024F",45,2,1,3,268
"Hackney 025A",95,18,0,22,96
"Hackney 025B",41,3,2,18,183
"Hackney 025C",49,13,1,5,133
"Hackney 025D",95,5,5,8,81
"Hackney 025E",81,10,1,22,47
"Hackney 025F",39,9,0,18,155
"Hackney 026A",68,10,1,30,136
"Hackney 026B",41,2,1,10,228
"Hackney 026C",20,5,0,11,193
"Hackney 026D",26,2,0,4,324
"Hackney 027B",96,19,1,23,96
"Hackney 027D",111,17,1,37,97
"Hackney 027E",66,5,0,12,151
"Hackney 027F",100,50,6,44,17
"Hackney 027H",71,7,1,20,47
"Hackney 027I",58,16,3,21,74
"Hackney 028A",63,5,0,13,151
"Hackney 028B",62,5,0,14,151
"Hackney 028C",71,4,0,11,230
"Hackney 028D",30,7,1,20,156
"Hackney 028E",31,0,0,2,307
"Hackney 029A",97,9,0,16,112
"Hackney 029B",66,3,0,10,230
"Hackney 029C",57,13,2,18,94
"Hackney 029D",45,2,2,12,201
"Hammersmith and Fulham 001A",88,12,3,43,137
"Hammersmith and Fulham 001B",41,5,1,20,167
"Hammersmith and Fulham 001C",65,3,1,29,67
"Hammersmith and Fulham 001D",50,3,0,24,237
"Hammersmith and Fulham 001E",8,1,0,8,389
"Hammersmith and Fulham 002A",88,7,0,23,257
"Hammersmith and Fulham 002B",44,3,4,2,101
"Hammersmith and Fulham 002C",81,2,1,11,129
"Hammersmith and Fulham 002D",39,1,0,4,288
"Hammersmith and Fulham 003A",95,7,0,29,27
"Hammersmith and Fulham 003B",242,2,0,16,11
"Hammersmith and Fulham 003C",18,1,2,16,203
"Hammersmith and Fulham 003D",32,6,0,23,196
"Hammersmith and Fulham 004A",218,76,9,61,18
"Hammersmith and Fulham 004B",69,2,0,4,249
"Hammersmith and Fulham 004C",62,7,1,30,46
"Hammersmith and Fulham 004D",195,7,4,14,33
"Hammersmith and Fulham 005A",64,2,0,29,279
"Hammersmith and Fulham 005B",44,7,1,23,156
"Hammersmith and Fulham 005C",283,19,1,36,12
"Hammersmith and Fulham 005D",108,12,2,34,137
"Hammersmith and Fulham 006A",49,17,1,19,116
"Hammersmith and Fulham 006B",55,5,5,28,63
"Hammersmith and Fulham 006C",70,4,1,32,46
"Hammersmith and Fulham 006D",33,8,0,49,159
"Hammersmith and Fulham 006E",22,6,2,21,184
"Hammersmith and Fulham 007A",79,8,0,20,112
"Hammersmith and Fulham 007B",42,7,0,40,178
"Hammersmith and Fulham 007C",54,4,0,26,237
"Hammersmith and Fulham 007D",119,14,1,15,95
"Hammersmith and Fulham 008A",32,7,1,29,176
"Hammersmith and Fulham 008B",10,5,0,49,179
"Hammersmith and Fulham 008C",14,2,0,19,398
"Hammersmith and Fulham 008D",37,3,0,22,236
"Hammersmith and Fulham 009A",78,7,0,29,238
"Hammersmith and Fulham 009B",15,6,2,21,184
"Hammersmith and Fulham 009C",35,9,1,36,158
"Hammersmith and Fulham 009D",24,8,0,35,177
"Hammersmith and Fulham 010A",35,11,1,42,138
"Hammersmith and Fulham 010B",39,12,1,29,136
"Hammersmith and Fulham 010C",21,2,0,9,232
"Hammersmith and Fulham 010D",31,7,1,26,176
"Hammersmith and Fulham 010E",17,4,0,25,216
"Hammersmith and Fulham 011A",12,9,1,23,176
"Hammersmith and Fulham 011B",10,3,0,23,360
"Hammersmith and Fulham 011C",177,14,3,114,80
"Hammersmith and Fulham 011D",25,9,0,49,159
"Hammersmith and Fulham 012A",23,5,1,36,158
"Hammersmith and Fulham 012B",2,3,0,6,325
"Hammersmith and Fulham 012C",51,4,0,19,276
"Hammersmith and Fulham 012D",58,4,3,13,142
"Hammersmith and Fulham 012E",35,16,1,15,134
"Hammersmith and Fulham 012F",26,4,0,10,192
"Hammersmith and Fulham 013A",73,6,0,23,257
"Hammersmith and Fulham 013B",50,12,4,33,137
"Hammersmith and Fulham 013C",347,63,6,81,18
"Hammersmith and Fulham 013D",131,17,1,27,75
"Hammersmith and Fulham 013E",95,9,2,28,29
"Hammersmith and Fulham 014A",52,13,0,18,115
"Hammersmith and Fulham 014B",38,26,1,16,77
"Hammersmith and Fulham 014C",18,5,0,7,192
"Hammersmith and Fulham 014D",112,20,2,26,55
"Hammersmith and Fulham 015A",57,2,1,10,228
"Hammersmith and Fulham 015B",23,9,1,13,154
"Hammersmith and Fulham 015C",57,12,0,20,135
"Hammersmith and Fulham 015D",108,6,0,17,112
"Hammersmith and Fulham 015E",50,4,0,11,171
"Hammersmith and Fulham 016A",21,13,3,34,157
"Hammersmith and Fulham 016B",32,4,0,9,192
"Hammersmith and Fulham 016C",41,29,2,27,77
"Hammersmith and Fulham 016D",16,9,0,15,174
"Hammersmith and Fulham 017A",55,4,0,8,210
"Hammersmith and Fulham 017B",60,13,1,38,118
"Hammersmith and Fulham 017C",32,2,0,14,253
"Hammersmith and Fulham 017D",28,5,0,18,195
"Hammersmith and Fulham 017E",98,15,2,22,75
"Hammersmith and Fulham 018A",17,9,0,34,177
"Hammersmith and Fulham 018B",66,10,2,37,137
"Hammersmith and Fulham 018C",14,8,1,15,174
"Hammersmith and Fulham 018D",15,6,0,29,197
"Hammersmith and Fulham 018E",17,5,2,16,184
"Hammersmith and Fulham 019A",22,4,1,15,187
"Hammersmith and Fulham 019B",10,5,0,32,198
"Hammersmith and Fulham 019C",3,4,0,17,214
"Hammersmith and Fulham 019D",35,7,1,23,156
"Hammersmith and Fulham 020A",28,11,2,26,157
"Hammersmith and Fulham 020B",64,3,0,47,160
"Hammersmith and Fulham 020C",20,16,1,44,118
"Hammersmith and Fulham 020D",44,5,1,35,158
"Hammersmith and Fulham 020E",12,0,1,22,146
"Hammersmith and Fulham 021A",23,5,2,14,184
"Hammersmith and Fulham 021B",31,5,0,30,217
"Hammersmith and Fulham 021C",14,4,0,25,216
"Hammersmith and Fulham 021D",43,10,0,26,175
"Hammersmith and Fulham 021E",60,3,0,30,239
"Hammersmith and Fulham 021F",180,14,0,20,11
"Hammersmith and Fulham 022A",33,9,1,27,176
"Hammersmith and Fulham 022B",38,5,0,35,218
"Hammersmith and Fulham 022C",15,3,0,22,215
"Hammersmith and Fulham 022D",6,3,0,21,215
"Hammersmith and Fulham 023A",43,7,0,42,159
"Hammersmith and Fulham 023C",67,2,0,46,160
"Hammersmith and Fulham 023D",29,3,0,27,216
"Hammersmith and Fulham 023E",25,1,1,4,302
"Hammersmith and Fulham 023F",11,3,0,4,324
"Hammersmith and Fulham 024A",65,6,0,39,239
"Hammersmith and Fulham 024B",13,5,0,17,195
"Hammersmith and Fulham 024C",15,1,0,31,300
"Hammersmith and Fulham 024D",35,4,0,44,179
"Hammersmith and Fulham 025A",24,5,0,28,197
"Hammersmith and Fulham 025B",15,0,0,23,380
"Hammersmith and Fulham 025C",44,5,0,36,218
"Hammersmith and Fulham 025D",33,6,2,45,138
"Haringey 001A",119,0,1,22,70
"Haringey 001B",45,2,3,11,121
"Haringey 001C",50,0,0,19,317
"Haringey 001D",36,0,0,13,313
"Haringey 002A",63,5,3,36,44
"Haringey 002B",95,3,0,39,26
"Haringey 002C",45,1,2,20,145
"Haringey 002D",55,1,1,18,128
"Haringey 004A",25,0,0,17,356
"Haringey 004B",53,4,1,16,189
"Haringey 004C",44,2,2,11,201
"Haringey 004D",57,2,1,23,108
"Haringey 005A",19,1,0,18,377
"Haringey 005B",51,1,2,35,65
"Haringey 005C",21,3,0,23,360
"Haringey 005D",34,1,1,46,180
"Haringey 006A",42,1,0,37,220
"Haringey 006B",50,5,0,10,171
"Haringey 006C",31,0,1,13,245
"Haringey 006D",130,6,2,40,25
"Haringey 007A",108,7,5,13,62
"Haringey 007B",32,1,0,20,358
"Haringey 007C",33,5,2,17,183
"Haringey 007D",79,9,3,14,73
"Haringey 008A",52,0,2,20,145
"Haringey 008B",42,1,4,40,64
"Haringey 008C",14,0,0,12,372
"Haringey 008D",29,1,1,52,140
"Haringey 009A",39,1,0,32,280
"Haringey 009B",31,4,0,24,216
"Haringey 009C",16,0,0,16,375
"Haringey 009D",43,3,2,31,84
"Haringey 010A",32,1,0,10,311
"Haringey 010B",93,0,2,21,69
"Haringey 010C",81,0,1,19,89
"Haringey 010D",80,0,1,31,66
"Haringey 011A",20,1,0,21,378
"Haringey 011B",23,1,0,14,333
"Haringey 011C",88,2,1,22,88
"Haringey 011D",63,4,1,33,46
"Haringey 012A",91,1,0,13,110
"Haringey 012B",147,8,6,25,23
"Haringey 012C",25,0,1,17,205
"Haringey 012D",95,4,4,24,43
"Haringey 013A",35,1,1,13,227
"Haringey 013B",55,2,0,30,279
"Haringey 013C",38,1,0,19,336
"Haringey 013D",65,0,0,26,279
"Haringey 014A",10,0,0,15,394
"Haringey 014B",18,0,0,25,339
"Haringey 014C",11,1,0,7,367
"Haringey 014D",38,3,0,21,236
"Haringey 015A",60,3,0,15,151
"Haringey 015B",59,1,0,23,298
"Haringey 015C",68,7,1,24,47
"Haringey 015D",104,24,5,26,36
"Haringey 016A",56,20,6,37,41
"Haringey 016B",209,13,7,20,2
"Haringey 016C",36,4,3,13,122
"Haringey 016D",181,8,5,26,23
"Haringey 017A",27,3,0,14,254
"Haringey 017B",17,2,0,19,398
"Haringey 017C",12,3,0,20,215
"Haringey 017D",36,0,0,24,319
"Haringey 018A",35,0,4,34,83
"Haringey 018B",65,4,0,13,151
"Haringey 018C",31,4,1,22,166
"Haringey 018D",25,1,0,24,339
"Haringey 019A",51,1,0,13,271
"Haringey 019B",76,5,1,24,47
"Haringey 019C",114,11,3,44,4
"Haringey 019D",18,0,0,32,300
"Haringey 020B",90,4,2,28,48
"Haringey 020C",47,0,0,19,317
"Haringey 020D",38,3,0,10,191
"Haringey 020E",45,2,3,6,121
"Haringey 020F",35,0,0,3,307
"Haringey 021A",19,5,0,9,192
"Haringey 021B",132,5,2,38,25
"Haringey 021C",54,2,0,15,295
"Haringey 021D",15,0,0,20,400
"Haringey 022A",18,5,0,14,194
"Haringey 022B",23,2,0,11,233
"Haringey 022C",19,1,0,17,377
"Haringey 022D",39,3,0,20,337
"Haringey 023A",57,2,0,22,297
"Haringey 023B",30,8,0,24,175
"Haringey 023C",147,8,5,32,23
"Haringey 023D",27,1,0,18,357
"Haringey 024A",43,3,4,29,83
"Haringey 024B",156,34,4,20,37
"Haringey 024C",75,2,1,18,109
"Haringey 024D",37,3,1,32,85
"Haringey 025A",134,24,7,38,36
"Haringey 025B",112,29,4,46,78
"Haringey 025C",89,5,2,43,25
"Haringey 025D",120,5,3,56,4
"Haringey 026A",87,2,4,29,43
"Haringey 026B",51,2,0,34,260
"Haringey 026C",111,3,5,28,42
"Haringey 026D",66,0,0,27,279
"Haringey 027A",12,1,0,20,399
"Haringey 027B",29,6,3,33,157
"Haringey 027C",17,6,0,21,196
"Haringey 027D",57,2,2,24,144
"Haringey 028A",40,3,0,15,275
"Haringey 028B",44,2,0,18,337
"Haringey 028C",35,0,0,36,220
"Haringey 028D",12,0,0,33,300
"Haringey 029A",20,4,1,30,106
"Haringey 029B",41,5,3,26,103
"Haringey 029C",40,6,1,10,208
"Haringey 029D",56,2,1,22,108
"Haringey 030A",27,1,0,18,357
"Haringey 030B",4,1,0,39,200
"Haringey 030C",24,3,0,22,359
"Haringey 030D",19,5,0,32,198
"Haringey 031A",39,1,0,21,318
"Haringey 031B",50,4,1,15,189
